PROPERTY_POST_CODE,REGION
04090,Central Ohio
03492,Central Ohio
03529,Central Texas
03959,Central Texas
05552,Central Texas
04360,Central Texas
05915,Central Texas
04171,Central Texas
00164,Northern Ohio
20815,Southern Ohio
58469,Southern Ohio
72469,Southern Ohio
87257,Southern Ohio
92668,Southern Ohio
21877,Southern Ohio
59419,Southern Ohio
06748,Southern Ohio
47647,Southern Ohio
95219,Southern Ohio
81217,Southern Ohio
18716,Southern Ohio
63994,Southern Ohio
63582,Southern Ohio
26743,Southern Ohio
30301,Southern Ohio
25757,Southern Ohio
17995,Southern Ohio
58502,Southern Ohio
97875,Southern Ohio
22345,Southern Ohio
08771,Southern Ohio
55344,Southern Ohio
54589,Southern Ohio
76873,Southern Ohio
82315,Southern Ohio
61703,Southern Ohio
35161,Southern Ohio
39398,Southern Ohio
58066,Southern Ohio
13304,Southern Ohio
09651,Southern Ohio
21875,Southern Ohio
77980,Southern Ohio
19998,Southern Ohio
48411,Southern Ohio
89783,Southern Ohio
64316,Southern Ohio
36437,Southern Ohio
68679,Southern Ohio
19533,Southern Ohio
97625,Southern Ohio
98269,Southern Ohio
50779,Southern Ohio
13048,Southern Ohio
13862,Southern Ohio
92050,Southern Ohio
77150,Southern Ohio
35058,Southern Ohio
13358,Southern Ohio
81427,Southern Ohio
15099,Southern Ohio
83271,Southern Ohio
23448,Southern Ohio
63232,Southern Ohio
83298,Southern Ohio
61321,Southern Ohio
42280,Southern Ohio
89760,Southern Ohio
33686,Southern Ohio
71931,Southern Ohio
31664,Southern Ohio
07470,Southern Ohio
22693,Southern Ohio
56929,Southern Ohio
78455,Southern Ohio
22021,Southern Ohio
20139,Southern Ohio
20674,Southern Ohio
98377,Southern Ohio
29159,Southern Ohio
61741,Southern Ohio
40536,Southern Ohio
02625,Northern Texas
02657,Northern Texas
02068,Northern Texas
01491,Northern Texas
02374,Northern Texas
00631,Northern Texas
01635,Northern Texas
00819,Northern Texas
01459,Northern Texas
77452,Southern Texas
99825,Southern Texas
42871,Southern Texas
17801,Southern Texas
82296,Southern Texas
19728,Southern Texas
70107,Southern Texas
62812,Southern Texas
95268,Southern Texas
49787,Southern Texas
50450,Southern Texas
16516,Southern Texas
40231,Southern Texas
72754,Southern Texas
79348,Southern Texas
67102,Southern Texas
76144,Southern Texas
47733,Southern Texas
31968,Southern Texas
77515,Southern Texas
62092,Southern Texas
73714,Southern Texas
85780,Southern Texas
73824,Southern Texas
82306,Southern Texas
56272,Southern Texas
45684,Southern Texas
31551,Southern Texas
82365,Southern Texas
07935,Southern Texas
92398,Southern Texas
61457,Southern Texas
52647,Southern Texas
67599,Southern Texas
37522,Southern Texas
08463,Southern Texas
20656,Southern Texas
49593,Southern Texas
77064,Southern Texas
86162,Southern Texas
82391,Southern Texas
88681,Southern Texas
93782,Southern Texas
41943,Southern Texas
94157,Southern Texas
50224,Southern Texas
18177,Southern Texas
09164,Southern Texas
82771,Southern Texas
65677,Southern Texas
65729,Southern Texas
91008,Southern Texas
49076,Southern Texas
65171,Southern Texas
17127,Southern Texas
51299,Southern Texas
36062,Southern Texas
16313,Southern Texas
35244,Southern Texas
45503,Southern Texas
81411,Southern Texas
16295,Southern Texas
78024,Southern Texas
28693,Southern Texas
46774,Southern Texas
82684,Southern Texas
73013,Southern Texas
85086,Southern Texas
71277,Southern Texas
34946,Southern Texas
59196,Southern Texas
27326,Southern Texas
40844,Southern Texas
88365,Southern Texas
46365,Southern Texas
60554,Southern Texas
96913,Southern Texas
75138,Southern Texas
91565,Southern Texas
41577,Southern Texas
47967,Southern Texas
68424,Southern Texas
46337,Southern Texas
63273,Southern Texas
83158,Southern Texas
16457,Southern Texas
60654,Southern Texas
26772,Southern Texas
91964,Southern Texas
21016,Southern Texas
62940,Southern Texas
35899,Southern Texas
67104,Southern Texas
22072,Southern Texas
13939,Southern Texas
45800,Southern Texas
08257,Southern Texas
89208,Southern Texas
26235,Southern Texas
21611,Southern Texas
20299,Southern Texas
78741,Southern Texas
33064,Southern Texas
08272,Southern Texas
50606,Southern Texas
40673,Southern Texas
41912,Southern Texas
75698,Southern Texas
31839,Southern Texas
33552,Southern Texas
57699,Southern Texas
70399,Southern Texas
50548,Southern Texas
99564,Southern Texas
93808,Southern Texas
29357,Southern Texas
58359,Southern Texas
73063,Southern Texas
13078,Southern Texas
19344,Southern Texas
77729,Southern Texas
47869,Southern Texas
71938,Southern Texas
98069,Southern Texas
27095,Southern Texas
81743,Southern Texas
51216,Southern Texas
43080,Southern Texas
93986,Southern Texas
14854,Southern Texas
14380,Southern Texas
15861,Southern Texas
89046,Southern Texas
99678,Southern Texas
86026,Southern Texas
64851,Southern Texas
06825,Southern Texas
47556,Southern Texas
89172,Southern Texas
29165,Southern Texas
79670,Southern Texas
43607,Southern Texas
07489,Southern Texas
88704,Southern Texas
57030,Southern Texas
80605,Southern Texas
76088,Southern Texas
87733,Southern Texas
13537,Southern Texas
61384,Southern Texas
27411,Southern Texas
44678,Southern Texas
38363,Southern Texas
42426,Southern Texas
46890,Southern Texas
95383,Southern Texas
07141,Southern Texas
42100,Southern Texas
28600,Southern Texas
82256,Southern Texas
54066,Southern Texas
12400,Southern Texas
38305,Southern Texas
37716,Southern Texas
98181,Southern Texas
50781,Southern Texas
53239,Southern Texas
70140,Southern Texas
58781,Southern Texas
47735,Southern Texas
19544,Southern Texas
55711,Southern Texas
99823,Southern Texas
62070,Southern Texas
90040,Southern Texas
54720,Southern Texas
06989,Southern Texas
12799,Southern Texas
53864,Southern Texas
75013,Southern Texas
90901,Southern Texas
16621,Southern Texas
58827,Southern Texas
35205,Southern Texas
10157,Southern Texas
88923,Southern Texas
23670,Southern Texas
82603,Southern Texas
83443,Southern Texas
96934,Southern Texas
47741,Southern Texas
22429,Southern Texas
62653,Southern Texas
73852,Southern Texas
06079,Southern Texas
57683,Southern Texas
64245,Southern Texas
31854,Southern Texas
76805,Southern Texas
58352,Southern Texas
76155,Southern Texas
68896,Southern Texas
03243,Central Florida
05127,Central Illinois
04242,Central New York
04421,Central New York
03442,Central New York
05366,Central New York
04953,Central New York
03325,Central New York
04158,Central New York
76510,Southern Florida
19058,Southern Florida
98693,Southern Florida
49120,Southern Florida
36351,Southern Florida
24017,Southern Florida
37408,Southern Florida
16427,Southern Florida
96890,Southern Florida
99638,Southern Florida
41724,Southern Georgia
95007,Southern Georgia
51630,Southern Georgia
74565,Southern Georgia
86673,Southern Georgia
40873,Southern Georgia
46328,Southern Georgia
61780,Southern Georgia
95250,Southern Georgia
90159,Southern Georgia
08706,Southern Georgia
76075,Southern Georgia
56281,Southern Georgia
88246,Southern Georgia
08303,Southern Georgia
00868,Northern Illinois
01039,Northern Illinois
00092,Northern Illinois
01073,Northern Illinois
00946,Northern Illinois
01782,Northern Illinois
02577,Northern Illinois
02818,Northern New York
01158,Northern New York
00269,Northern New York
02867,Northern New York
02097,Northern New York
02055,Northern New York
02879,Northern New York
02317,Northern New York
00774,Northern New York
