LOAN_NUMBER,LOAN_STATUS,AMT_CURR_LOAN_BAL,PRODUCT_CODE,PRODUCT_SUBCODE,NUMBER_DAYS_PAST_DUE,COST_CENTER,NON_ACCRUAL_STATUS,DATE_LOAN_ADDED
05d894cee720af75916295be7a422c5b,Open,800000,LOAN,01,0,28c91b0c577cb06f7842b28fef2808b2,false,1996-07-14
06947464e0a9c5d091873463c853532f,Open,800000,LOAN,01,0,c5c8c7ea287586b2fffbbe5e798db5d0,false,1995-04-19
45f0c75b72651c4996196e41b3a4bf51,Open,800000,LOAN,01,0,1a1922d5a8c4a1f6254920775118d96e,false,1996-06-19
8887822daa5844f9f6aa8174f6f85b00,Open,800000,LOAN,01,0,73c6718ec5738fde91bacf0f75d93b5b,false,2000-03-11
9d8ae42bff9abd5474d57a450ad9f987,Open,800000,LOAN,01,0,c3ca9b6871ccd9adff02a9806ae7c840,false,1997-05-19
a47b805337a9a8873522aa99215f53f4,Open,800000,LOAN,01,0,fdcf61b997e84a3640ad08f8cc7b635f,false,2013-05-23
554acbe704c388626855bf1d2e08e4e2,Open,800000,LOAN,01,0,cf572205476ba67614a0d00c51a71ad1,false,2001-04-05
2f4663dc9fc3ebd7b710f338bd55fa06,Closed,800000,LOAN,01,326,3eb8e3648ce066a3309aef2bf9970612,false,2015-08-26
0a5ff4429a660c6d1cc796bfc90bc43e,Closed,800000,LOAN,01,65,bc099e4d2ec620123099c3ee95dd7ee6,false,2018-05-04
6bfe68fe53bb680a8c1e19372087b78d,Closed,800000,LOAN,01,26,bc099e4d2ec620123099c3ee95dd7ee6,false,2018-09-24
eee88f34ce8784f820c8587cc019ccf8,Closed,800000,LOAN,01,12,0a7a7aa783cbacb1e8717515f87253f1,false,2019-11-03
57d24c9ec9bb1cba7a580cfbcaf57a3e,Closed,800000,LOAN,01,11,20c580de85c04c2374fa8bd9f8737d23,false,2009-06-17
1778207cf98bded2ab6b535e5bd9e17a,Closed,800000,LOAN,01,12,7287f716160fd62cb296d8321cc08507,false,2014-10-24
9714b4060b95622e2ddbd7b11b2aeb2e,Closed,800000,LOAN,01,122,3331d7f0b638bd44291b08fdcdf95ec6,false,2008-09-01
a69e3c02d529c14dd47cfeb9fa73efd8,Defaulted,800000,LOAN,01,454,64bfb67b76555c5b6a373af965120558,true,2006-12-20
62fc71a6fa533864c388a38f664861f7,Defaulted,800000,LOAN,01,159,1831ad19c05e8fca3cad5fd047c442fc,true,2017-05-12
d88d8b266948cd43f4adb18e4f9cdc82,Open,800000,LOAN,02,0,c3ca9b6871ccd9adff02a9806ae7c840,false,1995-08-06
d59fc7990eea4914199f3e5b81367fb9,Open,800000,LOAN,02,0,8cc7d18c33f85cc80053342be1c44cf9,false,1999-03-20
c8d7eb466918521b18e57fbf31d94bb2,Open,800000,LOAN,02,0,f2d2a218800e59ba244576ae1584a388,false,1995-01-19
2dba67adb2aae58bb5220944e9a8c556,Closed,800000,LOAN,02,41,ff5da52cf36bd75fa2ab1a44f091fb9d,false,2012-01-02
1597f757478643900666d893730cdedf,Closed,800000,LOAN,02,11,eab9a7638b08c29934354116f0098534,false,2019-11-09
cbafca5a1a1ce33d7b132c4e7970b110,Closed,800000,LOAN,02,28,9134e9f3d4a61bbf11ab57248db5a0d7,false,2019-10-15
eb16a2e24df88461debc35934c8b3cd2,Closed,800000,LOAN,02,325,2f7fb79a5a1ef598503d228dceee754d,false,2015-03-19
56bcf4fd6ffe72277f4e6aa459e4af8a,Closed,800000,LOAN,02,32,8413efffc897122cc8835dadb494c70f,false,2020-03-31
f6ed582bb2b93dd4e59fea7e57793126,Defaulted,800000,LOAN,02,878,d96e48950b0ee61a1c6548c4dd7f225e,true,2017-02-10
adfe671538ddb22bd3421aa1c37d24bc,Defaulted,800000,LOAN,02,466,64bfb67b76555c5b6a373af965120558,true,2016-02-08
78c447d2f0440ed6730cb2bad2868d1d,Defaulted,800000,LOAN,02,183,54ad31a937bbfda8f05d5f06ae45e22b,true,2016-11-29
9300e744c9240499e3590a18b214bb82,Defaulted,800000,LOAN,02,529,ff5da52cf36bd75fa2ab1a44f091fb9d,true,2016-09-26
b6972eb7b0ac0daf876c0749dcb47fea,Defaulted,800000,LOAN,02,123,f1b6f8e048ed790b286349f2b84afe49,true,2017-12-16
1dd3faf2ba912c80eea8821be8238203,Defaulted,800000,LOAN,02,627,fdcf61b997e84a3640ad08f8cc7b635f,true,2014-01-05
273a8e5b697f53181369c67592f58b76,Open,800000,LOAN,03,0,f42f9aa870362d322a67c691f4a357c5,false,2011-06-15
cc438a51c71908cb189a341eab258253,Open,800000,LOAN,03,0,cf572205476ba67614a0d00c51a71ad1,false,2007-04-27
f44397b4ead0fb32bfb8f68687b39621,Open,800000,LOAN,03,0,1a1922d5a8c4a1f6254920775118d96e,false,1997-01-10
aa95d33200c82dffa0a0ca1263dd8a02,Open,800000,LOAN,03,0,96b6d6a40f18980f92fcf70acea7bf94,false,2009-11-18
1601f4bac5ff1b3fed6e6e6432429feb,Open,800000,LOAN,03,0,260ce6b0d64b500f411c0958ef783bc7,false,2009-12-31
94129203114ffe26220106566140a2db,Open,800000,LOAN,03,0,c5c8c7ea287586b2fffbbe5e798db5d0,false,2008-09-05
6caaf4ba57ca67635fef9d215db2a4a4,Open,800000,LOAN,03,0,f2d2a218800e59ba244576ae1584a388,false,2008-03-14
d967ed82b8f0fdb6494c03bea4213e0e,Open,800000,LOAN,03,0,28c91b0c577cb06f7842b28fef2808b2,false,1996-04-16
7961e8c85e4137b2b45365a1e20ee697,Open,800000,LOAN,03,0,73c6718ec5738fde91bacf0f75d93b5b,false,2008-05-04
4a4c38f2d4aa99b672fb477378bddb25,Closed,800000,LOAN,03,253,d2ffc2b8c5728cb7362376d913472651,false,2016-07-20
e05a2a5e47660389767ce3e7d2d42bdc,Closed,800000,LOAN,03,10,c4d4334a663b0db33fb2ce0fa88608db,false,2016-09-19
8a62670a07af2840f2602ea2f1ecccab,Closed,800000,LOAN,03,401,cdfe47044a0da8b9c8e4ebcf8be8da43,false,2011-06-17
f8551859fe9a34bac790e0cb84e61462,Closed,800000,LOAN,03,15,d0a8f97dc5d1de9c78c45c145c15813e,false,2014-12-21
a5128df143de447318a38ea33939c29e,Defaulted,800000,LOAN,03,999,cd9ca34914438e91280f71e52825d11e,true,2017-04-15
f51790dc84eb9f95e9579b165eb88af8,Open,10000,LOAN,01,0,895b1aa5950dae6a33d8d441ec781634,false,1999-04-21
89d1f042a85d6d5471501a6a74198f91,Open,10000,LOAN,01,0,73c6718ec5738fde91bacf0f75d93b5b,false,2008-03-25
d987281ee35afce433bbb6d0fbc04c7e,Open,10000,LOAN,01,0,cf572205476ba67614a0d00c51a71ad1,false,1999-10-01
6813ec24e5d894b194a501365c72dd3c,Open,10000,LOAN,01,0,c3ca9b6871ccd9adff02a9806ae7c840,false,1998-01-07
e926609a83ca0deccd5df8a2d9b578dc,Open,10000,LOAN,01,0,1a1922d5a8c4a1f6254920775118d96e,false,1999-01-12
614f6832802b335e6c0658016ae4e70e,Closed,10000,LOAN,01,552,3331d7f0b638bd44291b08fdcdf95ec6,false,2015-09-04
95dfc9ee5b28c0de2fe8ebc66d22eaed,Closed,10000,LOAN,01,477,411862fd8e3e3159dd3afa59c0b676fa,false,2014-04-12
83f946482f6797fb640f4c5e94690def,Closed,10000,LOAN,01,238,810ef93562dc54e1a95d032026de95fe,false,2014-03-11
3fff29366666f4bba69f0440beed448a,Closed,10000,LOAN,01,164,de50003d2715ef3128c0f40513cecedf,false,2016-06-01
78dba07d87b70294eebed345fa732d84,Closed,10000,LOAN,01,38,fa418c35ef91b24ccdbe9b44376cc71e,false,2017-11-24
30467746a121e9fd57b965e414140cc4,Closed,10000,LOAN,01,11,ee64d75df434e13c4159b1834ebcef9f,false,2019-09-09
f6c6f57bb125c02e9c362d54255fedc2,Defaulted,10000,LOAN,01,656,f2d2a218800e59ba244576ae1584a388,true,2014-04-21
fdbeb711298e8c68da278e701e00fc44,Defaulted,10000,LOAN,01,366,cdfe47044a0da8b9c8e4ebcf8be8da43,true,2015-08-27
9cbbc38be172f4b46f559ef2ebc0a47d,Open,10000,LOAN,02,0,2cd85d7e946c2411b8c588cb013e02ad,false,2013-04-28
2ed57434836bb04f9d38245d23bbfd53,Open,10000,LOAN,02,0,c49c534a7afead2fb5cee9b27f06b132,false,1994-07-17
ce5e3223cd69aab0b5e2a13fda4c87b8,Open,10000,LOAN,02,0,c49c534a7afead2fb5cee9b27f06b132,false,2009-02-23
f18b7e4e3cec3cc6ffe2850551bd9e63,Closed,10000,LOAN,02,9,cab6fc37cc49fdaa78b7ba5750465624,false,2011-02-09
442a5435515bf71961bf43862d833730,Closed,10000,LOAN,02,5,c5c8c7ea287586b2fffbbe5e798db5d0,false,2004-01-22
7f70691a1f65cdff246b083de891826b,Defaulted,10000,LOAN,02,28,d13f196caf74b362961aebc82d8000e1,true,2016-08-23
a0579a4e08382a6659ee3204677a124d,Open,10000,LOAN,03,0,4f7769bed3ea2af09b57f26abebd9dbf,false,2002-11-27
b30c210d382673605f578bde5616530d,Open,10000,LOAN,03,0,1a1922d5a8c4a1f6254920775118d96e,false,2006-09-23
01ebedad607605a39581faad027e8c72,Open,10000,LOAN,03,0,de50003d2715ef3128c0f40513cecedf,false,2019-05-08
b8ffc4861ac553d423b80c8c0d579fc3,Open,10000,LOAN,03,0,c49c534a7afead2fb5cee9b27f06b132,false,1999-12-24
849b899cae46a814e41a88533879561b,Open,10000,LOAN,03,0,c49c534a7afead2fb5cee9b27f06b132,false,2014-10-02
19f76a8687eba359a3383b91bafd1dc1,Open,10000,LOAN,03,0,2cd85d7e946c2411b8c588cb013e02ad,false,2010-09-19
8d29422ddf767d85875df62682838a31,Open,10000,LOAN,03,0,2f7fb79a5a1ef598503d228dceee754d,false,2013-06-19
0cf630514f6d784630bb3b0676d63ba3,Closed,10000,LOAN,03,209,ea66cdb9e728d4ca5a4c45b1171ae17f,false,2018-04-24
73b7819622da4e0db60a486909fbf8e0,Closed,10000,LOAN,03,7,260ce6b0d64b500f411c0958ef783bc7,false,2022-04-30
05b4429bee91c29bc77ddad7cabb04fb,Closed,10000,LOAN,03,46,19fe5ba70df2ba043d749562e2f9b7bf,false,2014-10-04
15d77470139cdc44475ff267331c8347,Closed,10000,LOAN,03,158,b6291ac96748352796aa9446373f8e07,false,2014-09-21
a2ab2e1049506ef8394ffb694b4d4bef,Closed,10000,LOAN,03,15,10a05066750893d8389b6f1a800ebdca,false,2018-08-28
bdb4fa5d43e7973ef2aa9a71c4e25bd2,Closed,10000,LOAN,03,999,cab6fc37cc49fdaa78b7ba5750465624,false,2014-12-23
fbc8a19b73abae322fc3fbcb82ba789c,Closed,10000,LOAN,03,412,de50003d2715ef3128c0f40513cecedf,false,2016-11-26
f0916d9523a50ccbc2e6c56dfe14f0ab,Closed,10000,LOAN,03,608,8ccb49f3f86467cc5565aabc789f6d1f,false,2015-10-31
0ec859da943d735e9249d9d0ed95bb57,Defaulted,10000,LOAN,03,765,44c81abdf080dfa2e18909d569f60904,true,2015-10-26
aa0d1afc0a4323e4d14174b95ebf70fa,Defaulted,10000,LOAN,03,260,b76bd63295686b7399fdf6bb5590a61a,true,2017-02-18
ad7f4d6e224749a22bb4081a3bcaa4d4,Open,265000,LOAN,01,0,64bfb67b76555c5b6a373af965120558,false,2019-02-18
9633707fa3f1be8eb2f62b15a9cb4ef0,Open,265000,LOAN,01,0,1a1922d5a8c4a1f6254920775118d96e,false,2009-01-05
e8b268352f62663cfb71154934bb8426,Open,265000,LOAN,01,0,28c91b0c577cb06f7842b28fef2808b2,false,1995-08-07
3bc323c87f11cccf5dc8da2249fcc7e1,Open,265000,LOAN,01,0,260ce6b0d64b500f411c0958ef783bc7,false,2016-05-27
a3c282a4a1467403a2c02cc74a067416,Open,265000,LOAN,01,0,c5c8c7ea287586b2fffbbe5e798db5d0,false,1997-07-03
c3c46113bcf75e0f020db81673e8718a,Open,265000,LOAN,01,0,15c7b361dae713fdd0aae7a767e05559,false,1998-01-19
3f777d7947e47ade27b0ef21fea8bee5,Open,265000,LOAN,01,0,73c6718ec5738fde91bacf0f75d93b5b,false,2005-07-07
a2514c3b1b40aaaa3213618cb47e3cc1,Closed,265000,LOAN,01,177,10a05066750893d8389b6f1a800ebdca,false,2008-05-02
d494c2b7d8c7ef5b978827b891e8d090,Closed,265000,LOAN,01,63,23dc9179aa16962c2146b744e78785bd,false,2016-12-25
ba1d24a33ef89e389a649058598c476f,Closed,265000,LOAN,01,10,59514b49dc12cb040aa1097394d8a628,false,2007-09-15
6b9121d9b4d92fda79250ea7823af8ad,Closed,265000,LOAN,01,5,700ec72021b39cdbf4fc26cbb479d1d2,false,2019-03-12
0651d6bcee73a083792baeb2afe798d8,Closed,265000,LOAN,01,30,3331d7f0b638bd44291b08fdcdf95ec6,false,2019-03-08
f162b868db462cfd8ca893b49ad4d0de,Closed,265000,LOAN,01,653,7287f716160fd62cb296d8321cc08507,false,2008-02-07
be84a848627a3f7a41914ee70594a4a2,Closed,265000,LOAN,01,90,52c3121e393956660f2b412ce0c121da,false,2016-03-22
ad6111383a103f069bfe1aa9c8aef9a2,Closed,265000,LOAN,01,3,cdfe47044a0da8b9c8e4ebcf8be8da43,false,2006-04-16
7561e517ef90fa9bf21a1a541e748560,Closed,265000,LOAN,01,111,b15711c2a5674ef659d1ed3f64b1d562,false,2020-10-14
671f2b70b617df61d727a2ac663fd96c,Defaulted,265000,LOAN,01,844,b6291ac96748352796aa9446373f8e07,true,2012-09-17
2add142031e68305b446ca5ee287a4a6,Defaulted,265000,LOAN,01,633,290252ec2b5c0175db2fd93a3f985004,true,2019-06-30
7ae57da0dc2fb370620d95bd1788ed21,Defaulted,265000,LOAN,01,581,d2ffc2b8c5728cb7362376d913472651,true,2009-03-21
f6fe9c1f15e1d69275f8ee0a73b50403,Defaulted,265000,LOAN,01,999,897ae5b44f0a09efdbeca469d0e9520e,true,2016-04-04
90c992b2b402baeb97263f9e6780f2bb,Defaulted,265000,LOAN,01,999,623e1544a6a9e0f67bc8aa7343745806,true,2015-09-23
f18a052fce9e0e31b92f6130fc16470e,Open,265000,LOAN,02,0,2f7fb79a5a1ef598503d228dceee754d,false,2015-02-12
c22f264ec07f212f893bd635e21593bb,Open,265000,LOAN,02,0,59514b49dc12cb040aa1097394d8a628,false,2008-06-21
530b480306725d61f281bd533199b8c5,Open,265000,LOAN,02,0,17c48a40993a242d603102a4ad457537,false,2011-03-14
60d184677dcabd0e093ce24df98143e5,Open,265000,LOAN,02,0,895b1aa5950dae6a33d8d441ec781634,false,1995-11-22
170c148e3d8ae81dd757897e58941793,Open,265000,LOAN,02,0,d1c453c50cbb5d75517fba42046e30e1,false,2016-03-31
3f2155c7e41a8bcc4cf3c0c2f9739008,Open,265000,LOAN,02,0,3681c4be642a384a484dfeee846cfe1f,false,2010-05-07
cf4c800f3583ad8a9ae151239ab4754e,Open,265000,LOAN,02,0,2f7fb79a5a1ef598503d228dceee754d,false,2012-01-29
82ce4a4c86590f2155c6928ee31e2bb3,Open,265000,LOAN,02,0,e13faf09eaf2abffcc74c1e68bd45b72,false,2007-01-04
f27b9670e3721699a5e5ab47d4472e44,Open,265000,LOAN,02,0,73c6718ec5738fde91bacf0f75d93b5b,false,2007-01-22
d21ca25176bcde520b51437d5f43e011,Open,265000,LOAN,02,0,329aea91b8169e56d1105c1b0f3b15e3,false,1998-06-08
c7ae5f68514dcb243f388023cb80ff88,Open,265000,LOAN,02,0,c49c534a7afead2fb5cee9b27f06b132,false,2000-04-26
