sec_number,property_state,property_type,valuation_date,security_value,contract_of_sale_date,security_type,security_status,account_number,security_rank,region,is_primary
01dc1da6699ceb9631099d3b47c7cc02,Illinois,Flat,2015-01-04,227175,,Mortgage,Valid,e038f11ef0dae263edf3b487b0691959,5,Southern Texas,false
30633674c641e773fedc4d4277dd051b,Texas,Flat,2006-04-11,127518,,Pledge,Valid,a69e3c02d529c14dd47cfeb9fa73efd8,5,Southern Texas,false
111f57b1711a3d8ed7e8ef47272245a7,Illinois,Flat,2014-10-13,227128,,Mortgage,Valid,e038f11ef0dae263edf3b487b0691959,7,Southern Illinois,false
572fbe7d662cd075e565d554df5eefff,Illinois,Flat,2014-10-25,563361,,Mortgage,Valid,e038f11ef0dae263edf3b487b0691959,6,Southern Illinois,false
efa621636a81f20f2c7c3659d7702af2,Ohio,Flat,2016-03-24,223420,,Mortgage,Valid,2675fc0b1bcb6109f4ddb59e76f67e29,1,Central Ohio,true
497dfd23c0bb2d4b778a543b1dbc8537,Texas,Flat,2019-03-01,123434,2016-08-10,Mortgage,Valid,a975558ead16e5c7f36e01d9997d1c1d,1,Central Texas,true
bc01c23b40744fb229a332946658d4e3,Texas,Flat,2016-05-20,568722,,Mortgage,Valid,9c2891653dd16f9e48334b68f9959362,1,Central Texas,true
d36a9685cae4c7a472581fd6d45b98c2,Texas,Coach House,2015-10-25,223028,,Mortgage,Valid,a9dc88def4dcf8fc0afcd117f51fb2fe,1,Central Texas,true
d57d8d055715bc84cc0a3d4929f7b929,Ohio,Flat,,124409,,Mortgage,Valid,7265a9d6843bb7e437e20731955e6922,1,Southern Ohio,true
d4c89795e9d550411c91daa06bcab061,Ohio,Flat,2010-12-22,563766,,Mortgage,Valid,bf6e4da33bacd52b4e43be4390c95cfe,1,Southern Ohio,true
eb030cdca5917a32d805fdfe2faef0d9,Ohio,Flat,2018-04-02,124347,2017-09-13,Mortgage,Valid,ca0d4c29d5f85aa769044163c71a56f2,1,Southern Ohio,true
90d7363040f4ddb646d3cf3ce0a8baa6,Ohio,Flat,2012-01-26,568601,,Mortgage,Valid,db5485b5d5fadc176ace4aee8f30a27c,1,Southern Ohio,true
59685b7dc4d13e2a5e19af7bee606df3,Ohio,Flat,2007-07-14,560568,2007-09-10,Mortgage,Valid,7e54913dbf241e5a45500297a9c460c6,1,Southern Ohio,true
037222ee7dd9e811fd1c8c7116ae8a33,Ohio,Coach House,2018-04-24,568509,,Mortgage,Valid,4a4c38f2d4aa99b672fb477378bddb25,1,Southern Ohio,true
ef22900482ed00b999996db6cca11e65,Ohio,Flat,2018-07-01,125381,,Mortgage,Valid,6d26ab5447209ede01f02b02cd16fea3,1,Southern Ohio,true
42390d0fa96f1a31039b2bd1101cb256,Ohio,Flat,2021-09-09,989005,,Mortgage,Valid,b231b0f96ccfc22a579da304e15c1cf3,1,Southern Ohio,true
d6b85eca4659a17ce7f827994d6d662b,Ohio,Flat,,121731,2018-07-04,Mortgage,Valid,246ffb06669c7d2d5fc1d0ee91d2be70,1,Southern Ohio,true
759ab15f7e014574a9810b10c9c8ce3d,Ohio,Flat,2013-06-27,561189,,Mortgage,Valid,9510db56b493a27040de50f61c1765dc,1,Southern Ohio,true
92a193eaab80ba3d3f22699363188970,Ohio,Flat,2014-11-06,126974,,Mortgage,Valid,5e386aa3f79858e23b8aa59692276c9b,1,Southern Ohio,true
66d3cde67d31b02e2c96d515fc1a1513,Ohio,Flat,2020-09-10,225698,2020-02-14,Mortgage,Valid,82127b45e00828401547d9810070fb6b,1,Southern Ohio,true
41dd04d9ce886f107c41e6dd9776bdab,Ohio,Flat,2013-09-08,224680,2001-06-26,Mortgage,Valid,cbadfff45d63f3ca5c551da3d4dfb15b,1,Southern Ohio,true
3459798b9630d4f37b4e4a4bbac96929,Ohio,Flat,2015-08-29,223903,2015-09-14,Mortgage,Valid,6254994052845bdb058f564612674155,1,Southern Ohio,true
3ca0382e423ebc10e90dbe7090d2a306,Ohio,Flat,2012-09-02,563048,,Mortgage,Valid,a49c87dac78aa2637014c1cd5ecc1572,1,Southern Ohio,true
b6683174fc5ed2382d6728ede105edf6,Ohio,Flat,2017-01-18,566656,,Mortgage,Valid,0265e01541b76a42a38204f2c4163a26,1,Southern Ohio,true
5227b8006fdf7d953718adec5d4d6db2,Ohio,Flat,,120143,2015-04-26,Mortgage,Valid,8590d3f54e1f12f2b7145e921e5aab8d,1,Southern Ohio,true
8440b46d9bd9f5bccb3971733ec28bea,Ohio,Flat,2015-12-11,228940,,Mortgage,Valid,7f227bc60e0abb021a2a127429149837,1,Southern Ohio,true
51bce36b80abef0d4e5b1c41d2e257bf,Ohio,Flat,2016-03-21,125275,2016-02-24,Mortgage,Valid,fd3c9759b4ffd42fe88b1d191bae8866,1,Southern Ohio,true
55c7d1467bd0b17b92b5c13b394dbeb2,Ohio,Flat,2014-11-08,227418,,Mortgage,Valid,c6bd9cf9cf06295f2b95a5de2d611460,1,Southern Ohio,true
654f685bed3c0e8323a58835e96f46ce,Ohio,Flat,2019-11-24,221980,2020-07-05,Mortgage,Defaulted,1d808d1a9365864b6159e239da3e8b92,1,Southern Ohio,true
71caf892af1e8c33bdccad4065b32171,Ohio,Flat,2012-07-06,129206,,Mortgage,Valid,ad29224cd1cda5440e991521a7d33c40,1,Southern Ohio,true
fc66959bb0997161d892d70427c89e9c,Ohio,Flat,2011-11-10,568838,,Mortgage,Valid,7142d3f91baaaef998b583a4b1a0ef14,1,Southern Ohio,true
4e3478dfd1dbd1543da4cd9764ff1aec,Ohio,Flat,2019-04-16,227410,,Mortgage,Valid,32774ddbf00336f87b4533b1434bd34f,1,Southern Ohio,true
51e8c9a9f452b41a23eee7c384876585,Ohio,Flat,2015-06-11,221715,,Mortgage,Valid,4364d59ade7b9707cc631cf3bfb2b3f7,1,Southern Ohio,true
c3e6dac929311097161a8921f0e245b7,Ohio,Flat,2016-08-22,122574,2016-10-12,Mortgage,Valid,6b2ce9b219b02fc41221cac39b840dcd,1,Southern Ohio,true
bae2b8d26bbd2a7f459c29e7a9febb09,Ohio,Flat,,227580,2014-07-23,Mortgage,Valid,779e948c030a7c269a9f930e0bff7cff,1,Southern Ohio,true
ed91a94bfb5bc6370b2c69aaa980dee9,Ohio,Flat,2014-05-23,126386,,Mortgage,Valid,dcb8c6cc6bf1abac1c7000c20ce56f03,1,Southern Ohio,true
d149ca841cfcafaa3c78166a8a60b9de,Ohio,Detached,,220931,,Mortgage,Defaulted,5586b7198d1da0d780c3793e9785962e,1,Southern Ohio,true
072f4c35b3934bb0e5a51ac42bd6a37f,Ohio,End terraced house,2019-03-05,227422,,Mortgage,Valid,23ed12e39d66568cbd685eadf1788e49,1,Southern Ohio,true
9ce66365384170bcaf52951bfdaea34e,Ohio,Flat,2016-06-21,980672,2015-04-07,Mortgage,Valid,bf92696fd23fb09c6b285098904b9f91,1,Southern Ohio,true
51fd430c239098df90277e558b60c5bc,Ohio,Flat,2013-09-02,126925,,Mortgage,Valid,c4347b976967ea9021dc2837a9f410b4,1,Southern Ohio,true
1e216c2a201f05ff7362923bf3572248,Ohio,Flat,2011-01-19,561296,,Mortgage,Valid,126fbb18bbe56aa0e8317d4067dd196a,1,Southern Ohio,true
9dbb5747a1d88a17d1e1b19f38a32002,Ohio,Flat,2009-05-26,121867,,Mortgage,Valid,3192eb362194dc70819d9cd157ac4806,1,Southern Ohio,true
7d908a7f4cd29a4e3752a58e51ee2462,Ohio,Flat,2012-07-27,989325,,Mortgage,Valid,db0dd86ceab2a8dc628c19b559d979e0,1,Southern Ohio,true
8c88ba3901c92c39fe90788dbcc7fb99,Ohio,Detached,,127997,,Mortgage,Valid,d59fc7990eea4914199f3e5b81367fb9,1,Southern Ohio,true
0399f28a219c88fd9669786f651f9cac,Ohio,Flat,2011-01-30,126830,,Mortgage,Valid,484e1aa8c1f26e523a4bd4e0ff538f60,1,Southern Ohio,true
0a309630502d33bb9c802fd7497ca0ac,Ohio,Flat,2011-12-08,227627,,Mortgage,Valid,c3aacc1a42e070ac5205236fe1266963,1,Southern Ohio,true
e171a44335486bbe770b3438526b65be,Ohio,Flat,2008-12-03,989138,,Mortgage,Valid,84197d1a890214e7bf31d40d3361381d,1,Southern Ohio,true
a784a554df0d15962c693b93e4bfcea2,Ohio,Flat,2012-08-23,224044,,Mortgage,Valid,ca67a295e5550ff4702003e566e8f210,1,Southern Ohio,true
709dc5f3d08bd364fe0d6dfac125c489,Ohio,Detached,,982662,,Mortgage,Valid,b22ea91234988d5c1c495f49bb27aa5e,1,Southern Ohio,true
457a55b595622daa070c57763ff7663f,Ohio,Flat,2017-08-07,224914,,Mortgage,Valid,269b501cc41558875378c311188abbec,1,Southern Ohio,true
454de4dc95e585911b044537d029d45b,Ohio,Flat,2018-03-08,129141,,Mortgage,Valid,5d8e585450d81c3d8057a37e008749fd,1,Southern Ohio,true
a076e9351e795e5024f2bcc5b302ba26,Ohio,Flat,2012-01-14,986226,,Mortgage,Valid,6ea3c6c7156fc9deea28d39302719d45,1,Southern Ohio,true
01a22f5fce44b0bbe0799f90398ac340,Ohio,Flat,2005-04-18,221815,2005-05-04,Mortgage,Valid,6c0ddbecc4472c2c017e5c7b66968b95,1,Southern Ohio,true
9e597f1bb4f2e0d62973793c4f53cf65,Ohio,Flat,2013-12-03,567380,,Mortgage,Valid,11680d46acab3981a1ca0e1160f64eb3,1,Southern Ohio,true
c06ad46f21f98f7827735eecdd478ebe,Ohio,Flat,2017-06-02,561735,2017-01-04,Mortgage,Valid,c68f30310412dc057f082d8e72c23f5c,1,Southern Ohio,true
a7bfed53cdf5aab438f53bc19c749a3c,Ohio,Flat,2017-01-25,124224,,Mortgage,Valid,0ec859da943d735e9249d9d0ed95bb57,1,Southern Ohio,true
a198ec4de3fe2ed1489cfa6ba64d2530,Ohio,Flat,2013-05-16,987658,,Mortgage,Valid,60c571256806a385949ddd74a5eadd8b,1,Southern Ohio,true
